system:index,dry_days,max_temp,mean_temp,min_temp,month,total_precip,year,.geo
71,25,294.50766309102374,292.4059958919402,289.0880552927653,12.0,0.030148099383950466,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,23,295.69114621480304,293.9136303522253,292.3555901845296,1.0,0.017843595835216775,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,26,298.3039557139079,295.72725484563017,292.1133270263672,2.0,0.03786449610697673,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,26,300.19968668619794,298.2224276758009,296.396453221639,3.0,0.02958746237070997,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,19,301.61279042561847,300.1534525553385,297.82068634033203,4.0,0.04776960174861955,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,1,299.04564158121747,297.2650181144796,295.4042320251465,5.0,0.350475911610431,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,5,298.5179697672526,297.5479136572943,295.9186210632324,6.0,0.22563057013781318,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0,298.5548865000407,297.21462588156425,294.7099666595459,7.0,0.25597852297287815,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,9,298.83484268188477,297.12449346562875,295.17267354329425,8.0,0.1926429138465373,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2,298.3775126139323,296.6373381720649,294.43422508239746,9.0,0.31268888239022985,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,3,297.22557131449383,295.86393879305933,294.4378312428792,10.0,0.19495377038522577,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,18,295.96445592244464,293.468503888448,290.6215279897054,11.0,0.05872791985516557,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,27,294.3395799001058,291.48516974910615,287.72602399190265,12.0,0.01199763036943935,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,29,295.70984649658203,292.34121847665443,289.2424481709798,1.0,0.004646739933185984,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,17,297.7077045440674,295.74952472959245,293.17291831970215,2.0,0.07300093162679744,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,24,299.50268427530926,296.75556068010223,293.8243179321289,3.0,0.058346380905113904,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,16,302.0700403849284,299.1719166013929,296.42446835835773,4.0,0.04683240410478007,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2,302.06626001993817,297.9474506788357,296.46362050374347,5.0,0.24993745248650612,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0,297.8097979227702,296.6891660902235,294.96157773335773,6.0,0.3612700457898832,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,10,298.77189954121906,297.1439610142862,295.32551765441895,7.0,0.18340872769281802,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,3,298.04294459025067,296.9100078254619,295.56899388631183,8.0,0.27000837142211154,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,4,297.33155632019043,296.2859115812514,294.8987166086833,9.0,0.28908031187595995,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,5,296.72880427042645,295.6898358047649,294.6851399739583,10.0,0.18588994976644457,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,22,296.6905829111735,294.76590432061096,292.9089813232422,11.0,0.030765002424399057,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,27,296.52271461486816,294.39066484923,291.22643343607587,12.0,0.01094770115957644,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,26,297.42528406778973,295.369320325954,290.2846450805664,1.0,0.030646096730947647,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,16,297.67698669433594,295.97578312101814,293.4372437795003,2.0,0.09227025490179486,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,27,301.59520785013837,298.38595433388986,295.3665370941162,3.0,0.03045653311217933,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,18,303.5685393015544,300.86219876607265,297.3269411722819,4.0,0.034880519965192036,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,7,303.10408274332684,297.96407281198805,295.58549372355145,5.0,0.39294261172081946,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,1,298.51019223531085,297.4175557666355,295.9956359863281,6.0,0.2358085993767851,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,1,298.75553131103516,297.09428422169015,294.98344230651855,7.0,0.3437251865214499,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2,298.2656733194987,297.14201408304206,295.8062909444173,8.0,0.3196578199775182,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,6,297.90807088216144,296.12322745853,294.2862663269043,9.0,0.332785200391168,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10,297.70255851745605,296.20224007227085,295.12278683980304,10.0,0.11377912987938998,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,23,297.06493695576984,294.8668326271905,292.81774775187176,11.0,0.029113594521792407,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,26,297.69986788431805,295.16187235104144,291.5632572174072,12.0,0.012970228008974516,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,30,297.3943513234456,293.65440454790667,288.6103432973226,1.0,0.004891724573877099,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,24,298.8728771209717,295.6316434769404,293.1972287495931,2.0,0.008346789245326391,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,31,301.49913279215497,298.2568800936463,294.70595359802246,3.0,2.843076470249173E-4,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,14,301.99075571695965,298.6133844375611,295.9281584421794,4.0,0.1229530504692562,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,8,300.77418454488117,298.4298227781891,296.29551378885907,5.0,0.13693888091604833,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,7,299.78857167561847,298.2828104654948,296.0281728108724,6.0,0.2268238569052805,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,5,299.37640444437665,297.80965271816456,295.31551361083984,7.0,0.18310089000448215,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,3,298.32083320617676,296.7521152086156,295.2925459543864,8.0,0.37363046885224094,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,3,298.12618764241535,296.51224293178984,294.87753359476727,9.0,0.2721871399970155,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,11,296.5530815124512,295.10873897101294,293.49013392130536,10.0,0.13478840065372566,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,25,296.6113287607829,294.3062330669827,292.29189046223956,11.0,0.03814941725505605,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,31,295.1163221995036,292.3915421680737,288.55306879679364,12.0,0.0010519351671760546,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,30,297.7190519968669,293.9178524837699,290.1854953765869,1.0,0.0023659367150230537,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,19,297.2830130259196,295.4859742570197,292.59981473286945,2.0,0.07800615329366067,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,26,300.54396375020343,298.4920054610058,294.08388964335126,3.0,0.02211417581182573,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,16,301.3447430928548,298.33437815772163,294.96497027079266,4.0,0.11735845437670633,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,9,300.5535945892334,298.06154868423295,295.9728323618571,5.0,0.19601825771766102,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,5,299.3640314737956,297.94636056688097,295.82988866170246,6.0,0.24906127279277612,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,4,298.8748728434245,298.0096276190973,297.19272804260254,7.0,0.17508331773918684,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,4,298.81457901000977,297.71154873345483,295.95560963948566,8.0,0.17695275780500808,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,5,298.4232978820801,297.17519028981525,296.00224685668945,9.0,0.16836395524861913,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,9,297.3332869211833,295.7845071977184,294.0927193959554,10.0,0.10493229297068041,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,26,297.0925757090251,296.0250750435723,295.0597953796387,11.0,0.01400324534736086,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,31,297.12329355875653,295.54319972376663,293.3932456970215,12.0,1.9336429689786883E-4,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,24,297.18123690287274,295.46684211812993,291.8899383544922,1.0,0.040003149869086485,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,25,301.183624903361,297.68837604068574,293.2337754567464,2.0,0.005453006624197343,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,23,302.3186798095703,299.91855291140973,295.6254800160726,3.0,0.046277073995423024,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,16,303.30679512023926,299.75761468675404,294.51991844177246,4.0,0.094175279689523,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,5,302.4071909586589,299.6118913671022,296.26722526550293,5.0,0.17882005517905242,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,4,299.9107500712077,298.37893397013346,297.0602550506592,6.0,0.18266756924025174,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,1,299.12669881184894,297.1976490841117,295.16726811726886,7.0,0.2580073114781989,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2,297.7502155303955,296.4605835945375,294.74670664469403,8.0,0.31483611248789245,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,4,298.78606669108075,296.73024753994406,294.54802258809406,9.0,0.36325356898398553,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,9,298.2171440124512,296.21273344306536,294.81302134195965,10.0,0.1101925713907086,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,25,295.93601417541504,293.5294405619304,290.69926834106445,11.0,0.07295562952198864,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,31,295.73876762390137,292.64727924716095,289.08461316426593,12.0,5.961625382369107E-4,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,25,296.73985354105633,294.83147881620664,292.7127316792806,1.0,0.018810047779961536,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,22,299.65005747477215,296.10317988622757,294.347074508667,2.0,0.041073646091305704,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,26,301.59741910298663,299.17478428092056,294.75398381551105,3.0,0.086609791212652,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,16,301.7730197906494,298.9022062513563,295.8286952972412,4.0,0.09767020871841581,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,8,301.6592324574788,298.74643604729766,295.70177332560223,5.0,0.23101106653416537,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2,299.00690205891925,297.8315365897285,295.4701506296794,6.0,0.2782005997770689,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,1,298.99409039815265,297.28426804081084,295.67135683695477,7.0,0.2740107849594118,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2,298.40391540527344,297.1836517498057,296.223934173584,8.0,0.272162758674348,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,1,298.1783911387126,296.72816958957253,293.25762939453125,9.0,0.39415836198456233,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,10,297.5609594980876,295.68270205425966,291.85790761311847,10.0,0.18675051108715834,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,24,296.0084654490153,294.330001809862,291.86744499206543,11.0,0.035663436371862645,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,22,295.2930444081624,293.34446261006025,290.78110949198407,12.0,0.08207422999981873,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,28,295.3198006947835,292.39492389719976,287.5668176015218,1.0,0.021137702756995225,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,20,297.1290035247803,295.18325678507483,292.10826365152997,2.0,0.03624579583163268,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,21,299.37268511454266,297.3467125636275,294.4633197784424,3.0,0.04048085719152539,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,17,301.0363082885742,299.20251299540206,296.59552510579425,4.0,0.07445975556733586,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,10,300.44067700703937,298.1872266133626,295.61124992370605,5.0,0.21346822951943878,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,3,298.0291976928711,296.80976221296515,295.35593096415204,6.0,0.2790696675465725,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2,298.0750789642334,296.7447971426031,294.67142995198566,7.0,0.24712428540886933,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
